date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:22:20	683/683	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Oct%202022%2023:22:20%20GMT	https://apps4max.com/robots.txt		(from )
01:22:20	29440/29440	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2006:11:54%20GMT	https://apps4max.com/shahid/	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/index.html	(from )
01:22:21	29220/29220	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:20:00%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/pinned.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/pinned.png	(from https://apps4max.com/shahid/)
01:22:21	683/683	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Oct%202022%2023:22:21%20GMT	https://apps4max.com/shahid/assets/img/ogimage.jpg	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/ogimage.jpg	(from https://apps4max.com/shahid/)
01:22:22	683/683	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Oct%202022%2023:22:22%20GMT	https://apps4max.com/shahid/assets/img/ogimage.jpg	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/ogimage.jpg	(from https://apps4max.com/shahid/)
01:22:22	489/489	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:18:12%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/favicon-16.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/favicon-16.png	(from https://apps4max.com/shahid/)
01:22:22	947/947	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:18:20%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/favicon-32.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/favicon-32.png	(from https://apps4max.com/shahid/)
01:22:24	2790/2790	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:18:30%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/favicon-48.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/favicon-48.png	(from https://apps4max.com/shahid/)
01:22:26	12193/12193	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:19:50%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/favicon-coast.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/favicon-coast.png	(from https://apps4max.com/shahid/)
01:22:26	29220/29220	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:20:10%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/favicon-192.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/favicon-192.png	(from https://apps4max.com/shahid/)
01:22:27	29220/29220	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:20:56%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/apple-touch-icon-192x192-precomposed.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/apple-touch-icon-192x192-precomposed.png	(from https://apps4max.com/shahid/)
01:22:27	4716/4716	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:21:22%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/apple-touch-icon-120x120-precomposed.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/apple-touch-icon-120x120-precomposed.png	(from https://apps4max.com/shahid/)
01:22:28	2119/2119	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Oct%202021%2019:21:38%20GMT	https://apps4max.com/shahid/assets/img/brand_icons/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/cpa/apps4max.com/shahid/assets/img/brand_icons/apple-touch-icon-72x72-precomposed.png	(from https://apps4max.com/shahid/)
